episode,step,regime,train_loss,eval_loss
2,4,mixed,0.40644893050193787,0.3903390169143677
2,5,great_inflation,0.38463038206100464,0.4129529595375061
2,6,great_inflation,0.24010905623435974,0.32216182351112366
2,7,great_inflation,0.27374324202537537,0.40606167912483215
2,8,great_inflation,0.31851547956466675,0.27232626080513
2,9,great_inflation,0.2926742732524872,0.37152865529060364
2,10,great_moderation,0.07283855229616165,0.4105348289012909
2,11,great_moderation,0.053412504494190216,0.6245918869972229
2,12,great_moderation,0.055508360266685486,0.4976211488246918
2,13,great_moderation,0.03095688670873642,0.4931997060775757
2,14,great_moderation,0.03881759196519852,0.52637779712677
2,15,great_recession,0.11393877863883972,0.24253125488758087
2,16,post_crisis,0.03008589707314968,0.31634074449539185
2,17,covid,0.10241992026567459,0.5460720062255859
2,18,great_inflation,0.2619413435459137,0.5816575884819031
2,19,volcker_disinflation,0.04478440806269646,0.5532619953155518
3,0,mixed,0.7564255595207214,0.7470390796661377
3,1,mixed,0.669074535369873,0.548988938331604
3,2,mixed,0.5929349660873413,0.4986937642097473
3,3,mixed,0.3800012469291687,0.35148972272872925
3,4,mixed,0.3629752993583679,0.25394633412361145
3,5,great_inflation,0.3846878111362457,0.28755271434783936
3,6,great_inflation,0.2648196518421173,0.25813719630241394
3,7,great_inflation,0.22383899986743927,0.35769882798194885
3,8,great_inflation,0.13518784940242767,0.3703058958053589
3,9,great_inflation,0.10574112832546234,0.36087509989738464
3,10,great_moderation,0.06873279809951782,0.4161280691623688
3,11,great_moderation,0.06357362121343613,0.43830814957618713
3,12,great_moderation,0.0595327764749527,0.4899473190307617
3,13,great_moderation,0.019731856882572174,0.4635949730873108
3,14,great_moderation,0.03383868187665939,0.25492411851882935
3,15,great_recession,0.06626780331134796,0.21238313615322113
3,16,post_crisis,0.010850286111235619,0.3130190670490265
3,17,covid,0.059047140181064606,0.5199823975563049
3,18,great_inflation,0.270388662815094,0.2679442763328552
3,19,volcker_disinflation,0.04959462210536003,0.2873312830924988
4,0,mixed,0.6528818011283875,0.8701297044754028
4,1,mixed,0.9256376624107361,0.8632856011390686
4,2,mixed,0.6866519451141357,0.7834581136703491
4,3,mixed,0.5941386818885803,0.5555455088615417
4,4,mixed,0.44758492708206177,0.5114282369613647
4,5,great_inflation,0.20507915318012238,0.4817667007446289
4,6,great_inflation,0.19647911190986633,0.4279365837574005
4,7,great_inflation,0.22725525498390198,0.44341209530830383
4,8,great_inflation,0.21859115362167358,0.5342203378677368
4,9,great_inflation,0.20816339552402496,0.4966915249824524
4,10,great_moderation,0.09352510422468185,0.5544612407684326
4,11,great_moderation,0.06348393112421036,0.5636520385742188
4,12,great_moderation,0.05486604571342468,0.7319991588592529
4,13,great_moderation,0.05167406052350998,0.5030625462532043
4,14,great_moderation,0.04395892471075058,0.5264019966125488
4,15,great_recession,0.09742961078882217,0.398050993680954
4,16,post_crisis,0.01431269571185112,0.3582950234413147
4,17,covid,0.19191117584705353,0.760850727558136
4,18,great_inflation,0.27383705973625183,0.9217638969421387
4,19,volcker_disinflation,0.07161696255207062,0.9314171075820923
5,0,mixed,0.5916301608085632,0.8939045071601868
5,1,mixed,0.737267255783081,0.5390741229057312
5,2,mixed,0.5229613780975342,0.5654534101486206
5,3,mixed,0.48438626527786255,0.3253674805164337
5,4,mixed,0.2169043868780136,0.2475588023662567
5,5,great_inflation,0.3375219702720642,0.20949338376522064
5,6,great_inflation,0.2718743085861206,0.2366664707660675
5,7,great_inflation,0.19942496716976166,0.38463860750198364
5,8,great_inflation,0.17562806606292725,0.43655577301979065
5,9,great_inflation,0.1694456934928894,0.6022909283638
5,10,great_moderation,0.03879743441939354,0.5494910478591919
5,11,great_moderation,0.049468234181404114,0.3965895175933838
5,12,great_moderation,0.028188619762659073,0.5262870192527771
5,13,great_moderation,0.025776591151952744,0.4419458508491516
5,14,great_moderation,0.03370753675699234,0.3927654027938843
5,15,great_recession,0.02135317586362362,0.1743621677160263
